"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Oct 09 06:12:46 GMT 2025","Thu Oct 09 06:12:47 GMT 2025","1390","","tests.UiSelenideTests","","tests.UiSelenideTests","submitWebFormSelenideTest","submitWebFormSelenideTest()",""
"passed","Thu Oct 09 06:12:42 GMT 2025","Thu Oct 09 06:12:42 GMT 2025","209","","tests.ApiTests","","tests.ApiTests","createUser","createUser()",""
"passed","Thu Oct 09 06:12:47 GMT 2025","Thu Oct 09 06:12:57 GMT 2025","9583","","tests.UiTests","","tests.UiTests","loadingImagesImplicitWaitTest","loadingImagesImplicitWaitTest()",""
"failed","Thu Oct 09 06:12:42 GMT 2025","Thu Oct 09 06:12:46 GMT 2025","3535","","tests.UiPomTests","","tests.UiPomTests","loginPomTest","loginPomTest()",""
"passed","Thu Oct 09 06:12:38 GMT 2025","Thu Oct 09 06:12:41 GMT 2025","2332","","tests.ApiTests","","tests.ApiTests","createUserParametrizedTest","createUserParametrizedTest(User) [1] User(id=null, username=username, firstName=firstName, lastName=lastName, email=email, password=null, phone=password, userStatus=0)",""
"passed","Thu Oct 09 06:12:41 GMT 2025","Thu Oct 09 06:12:41 GMT 2025","217","","tests.ApiTests","","tests.ApiTests","createUserParametrizedTest","createUserParametrizedTest(User) [2] User(id=null, username=null, firstName=null, lastName=null, email=null, password=null, phone=null, userStatus=null)",""
"passed","Thu Oct 09 06:12:57 GMT 2025","Thu Oct 09 06:12:58 GMT 2025","930","","tests.UiTests","","tests.UiTests","submitWebFormTest","submitWebFormTest()",""
"passed","Thu Oct 09 06:12:42 GMT 2025","Thu Oct 09 06:12:42 GMT 2025","187","","tests.ApiTests","","tests.ApiTests","createUserControllerTest","createUserControllerTest()",""
"passed","Thu Oct 09 06:12:58 GMT 2025","Thu Oct 09 06:13:06 GMT 2025","8576","","tests.UiTests","","tests.UiTests","loadingImagesExplicitWaitTest","loadingImagesExplicitWaitTest()",""
"passed","Thu Oct 09 06:12:41 GMT 2025","Thu Oct 09 06:12:42 GMT 2025","933","","tests.ApiTests","","tests.ApiTests","createUser2","createUser2()",""
