"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 09 06:47:36 GMT 2025","Thu Oct 09 06:47:44 GMT 2025","8531","","tests.UiTests","","tests.UiTests","loadingImagesExplicitWaitTest","loadingImagesExplicitWaitTest()",""
"passed","Thu Oct 09 06:47:24 GMT 2025","Thu Oct 09 06:47:34 GMT 2025","9684","","tests.UiTests","","tests.UiTests","loadingImagesImplicitWaitTest","loadingImagesImplicitWaitTest()",""
"passed","Thu Oct 09 06:47:34 GMT 2025","Thu Oct 09 06:47:36 GMT 2025","1554","","tests.UiTests","","tests.UiTests","submitWebFormTest","submitWebFormTest()",""
"passed","Thu Oct 09 06:47:18 GMT 2025","Thu Oct 09 06:47:18 GMT 2025","258","","tests.ApiTests","","tests.ApiTests","createUserControllerTest","createUserControllerTest()",""
"passed","Thu Oct 09 06:47:18 GMT 2025","Thu Oct 09 06:47:18 GMT 2025","214","","tests.ApiTests","","tests.ApiTests","createUser","createUser()",""
"passed","Thu Oct 09 06:47:14 GMT 2025","Thu Oct 09 06:47:17 GMT 2025","2299","","tests.ApiTests","","tests.ApiTests","createUserParametrizedTest","createUserParametrizedTest(User) [1] User(id=null, username=username, firstName=firstName, lastName=lastName, email=email, password=null, phone=password, userStatus=0)",""
"failed","Thu Oct 09 06:47:23 GMT 2025","Thu Oct 09 06:47:24 GMT 2025","1486","","tests.UiSelenideTests","","tests.UiSelenideTests","submitWebFormSelenideTest","submitWebFormSelenideTest()",""
"passed","Thu Oct 09 06:47:17 GMT 2025","Thu Oct 09 06:47:17 GMT 2025","184","","tests.ApiTests","","tests.ApiTests","createUserParametrizedTest","createUserParametrizedTest(User) [2] User(id=null, username=null, firstName=null, lastName=null, email=null, password=null, phone=null, userStatus=null)",""
"failed","Thu Oct 09 06:47:18 GMT 2025","Thu Oct 09 06:47:23 GMT 2025","4577","","tests.UiPomTests","","tests.UiPomTests","loginPomTest","loginPomTest()",""
"passed","Thu Oct 09 06:47:17 GMT 2025","Thu Oct 09 06:47:18 GMT 2025","847","","tests.ApiTests","","tests.ApiTests","createUser2","createUser2()",""
